"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"B00151CD61","上海浦东国际机场","交通设施服务;机场相关;飞机场","150104","[]","迎宾大道6000号","121.808682","31.142267","121.80440037514784","31.14438352750804","021-68347575;021-96081388","上海市","上海市","浦东新区"
"B001559TVX","上海虹桥国际机场","交通设施服务;机场相关;飞机场","150104","[]","虹桥路2550号","121.339785","31.196056","121.33521858613587","31.197977413281613","96990;021-32531090","上海市","上海市","长宁区"
"B00157GGTX","上海高东直升机场","交通设施服务;机场相关;直升机场","150106","[]","高东一路200号","121.626053","31.332855","121.62183025136072","31.334998744590965","[]","上海市","上海市","浦东新区"
"B0FFILGPXL","至重庆空运","交通设施服务;机场相关;机场相关","150100","[]","邯郸路与国宾路交叉口东140米(五角场地铁站5号口旁)","121.514803","31.299323","121.51041904118588","31.301356366716586","[]","上海市","上海市","杨浦区"
"B0FFLHAHMC","上海金山水上机场","交通设施服务;机场相关;飞机场","150104","[]","沪杭公路7555号","121.35464","30.714819","121.35008385109504","30.716983502669656","[]","上海市","上海市","金山区"
"B0FFH2NYUZ","1号航站楼(7号门国内出发)","交通设施服务;机场相关;机场出发/到达","150105","[]","虹桥路2550号上海虹桥国际机场1号航站楼2F层","121.346661","31.193607","121.34207995789046","31.195517084162034","[]","上海市","上海市","长宁区"
"B0I6F7KPNX","上海机场城市航站楼(装修中)","交通设施服务;机场相关;机场相关","150100","[]","南京西路1598-1600号","121.447218","31.223954","121.44262062219418","31.225836624744268","[]","上海市","上海市","静安区"
"B00157BO6X","华山医院高架直升机场","交通设施服务;机场相关;直升机场","150106","[]","乌鲁木齐中路12号复旦大学附属华山医院1号楼","121.443344","31.216466","121.438738653909","31.218344945956225","[]","上海市","上海市","静安区"
"B0FFGU7IFM","虹桥综合交通枢纽(北彩虹桥进出口)","交通设施服务;机场相关;机场出发/到达","150105","[]","虹桥路2550号虹桥综合交通枢纽F2层","121.327701","31.194665","121.3231619256594","31.196610024292937","[]","上海市","上海市","闵行区"
"B0FFHB4EW2","虹桥综合交通枢纽(B1出入口西2)","交通设施服务;机场相关;机场出发/到达","150105","[]","虹桥火车站地铁站南2入口步行80米","121.318533","31.193603","121.31401479959884","31.195565985009782","[]","上海市","上海市","闵行区"
"B001570G8B","上海民航龙华机场","交通设施服务;机场相关;直升机场","150106","[]","云锦路300号(云锦路地铁站7号口步行110米)","121.457225","31.167935","121.4526577255835","31.169866298606788","021-64573550","上海市","上海市","徐汇区"
"B0FFH7FMHO","诺宝空运","交通设施服务;机场相关;机场相关","150100","[]","空港六路与迎宾三路交叉口南60米","121.348193","31.184362","121.34360955388118","31.186273973819457","[]","上海市","上海市","长宁区"
"B0FFFHBGWF","上海虹桥机场2号航站楼(出发4号门)","交通设施服务;机场相关;机场出发/到达","150105","[]","七莘路(虹桥2号航站楼地铁站入口步行220米)","121.327829","31.193303","121.32328975105187","31.195248451162012","[]","上海市","上海市","闵行区"
"B0I6A52GFK","VVIP(A楼)","交通设施服务;机场相关;机场相关","150100","[]","[]","121.801784","31.151734","121.7974855419477","31.15383391455158","[]","上海市","上海市","浦东新区"
"B0FFK941KY","航空运输销售代理","交通设施服务;机场相关;机场相关","150100","[]","普照路33号","121.239830","31.004759","121.23542229397941","31.00690143656092","[]","上海市","上海市","松江区"
"B00157BN4N","上海虹桥国际机场2号航站楼(出发11号门)","交通设施服务;机场相关;机场出发/到达","150105","[]","虹桥2号航站楼地铁站出口步行220米","121.324118","31.194527","121.3195870941196","31.19647894353347","[]","上海市","上海市","闵行区"
"B00157BN4I","上海虹桥机场2号航站楼(出发12号门)","交通设施服务;机场相关;机场出发/到达","150105","[]","虹桥2号航站楼地铁站入口步行200米","121.324409","31.193471","121.31987752302125","31.195422909063794","[]","上海市","上海市","闵行区"
"B0FFHYL1L0","中航空运收件(虹桥机场T2店)","交通设施服务;机场相关;机场相关","150100","[]","润虹路与申达二路交叉口西南60米","121.327641","31.204778","121.32310119399203","31.2067181976567","[]","上海市","上海市","闵行区"
"B0ID47O57G","虹桥综合交通枢纽上海虹桥站(B1出入口西1)","交通设施服务;机场相关;机场出发/到达","150105","[]","虹桥路2550号虹桥综合交通枢纽上海虹桥站B1层","121.318491","31.194334","121.31397283123185","31.19629670327164","[]","上海市","上海市","闵行区"
"B0ID47O57F","虹桥综合交通枢纽上海虹桥站(B1出入口西2)","交通设施服务;机场相关;机场出发/到达","150105","[]","虹桥路2550号虹桥综合交通枢纽上海虹桥站B1层","121.318533","31.193603","121.31401479959884","31.195565985009782","[]","上海市","上海市","闵行区"
"B0FFGHZR49","虹桥T2南区贵宾室","交通设施服务;机场相关;候机室","150101","[]","虹翔三路171附近","121.328964","31.192029","121.32442227603559","31.193972908147675","[]","上海市","上海市","闵行区"
"B0FFHHL1BZ","上海机场贵宾服务有限公司69号贵宾室","交通设施服务;机场相关;候机室","150101","[]","上海市浦东国际机场2号航站楼","121.811377","31.149851","121.80710125066989","31.151968253112592","021-68340508","上海市","上海市","浦东新区"
"B0FFIIU1PK","上海浦东国际机场(2F出入口通往机场巴士)","交通设施服务;机场相关;机场出发/到达","150105","[]","迎宾大道6000号上海浦东国际机场2F层","121.806874","31.150448","121.80258739533166","31.152557080284513","[]","上海市","上海市","浦东新区"
"B0FFI8PZ6P","上海浦东国际机场磁浮票务中心","交通设施服务;机场相关;机场相关","150100","[]","迎宾大道6000号上海浦东国际机场","121.805564","31.151404","121.8012742410346","31.15351034937982","021-68347575","上海市","上海市","浦东新区"
"B0FFHB4D7I","上海浦东国际机场南航明珠俱乐部VIP","交通设施服务;机场相关;候机室","150101","[]","迎宾大道6000号上海浦东国际机场2F层70","121.809553","31.153626","121.80527251673173","31.15573805185091","[]","上海市","上海市","浦东新区"
"B0FFGU7IK1","上海浦东国际机场(国内到达7号门)","交通设施服务;机场相关;机场出发/到达","150105","[]","迎宾大道6000号上海浦东国际机场1F层","121.803754","31.149819","121.79946018297991","31.15192315264856","[]","上海市","上海市","浦东新区"
"B0FFGU7IK0","上海浦东国际机场(国际/港澳台到达9号门)","交通设施服务;机场相关;机场出发/到达","150105","[]","迎宾大道6000号上海浦东国际机场1F层","121.803956","31.149275","121.79966269276285","31.151379774581873","[]","上海市","上海市","浦东新区"
"B0FFGU7IJZ","上海浦东国际机场(国内&国际/港澳台到达25号门)","交通设施服务;机场相关;机场出发/到达","150105","[]","迎宾大道6000号上海浦东国际机场1F层","121.808296","31.151082","121.80401271646491","31.15319319648095","[]","上海市","上海市","浦东新区"
"B0FFGU7IJS","上海浦东国际机场(国内到达4号门)","交通设施服务;机场相关;机场出发/到达","150105","[]","迎宾大道6000号上海浦东国际机场1F层","121.803498","31.150505","121.79920353845992","31.152608367609556","[]","上海市","上海市","浦东新区"
"B0FFGHO5TL","上海浦东国际机场73号头等舱候机室","交通设施服务;机场相关;候机室","150101","[]","迎宾大道6000号上海浦东国际机场2F层","121.810942","31.151413","121.80666506165404","31.153528659857862","[]","上海市","上海市","浦东新区"
"B0FFG40CJB","90号头等舱候机室(上海浦东国际机场)","交通设施服务;机场相关;候机室","150101","[]","启航路300号上海浦东国际机场F3层","121.812259","31.146325","121.80798570014093","31.1484456858017","[]","上海市","上海市","浦东新区"
"B0FFH9LFVF","上海机场到郑州空运虹桥托运部","交通设施服务;机场相关;机场相关","150100","[]","星华公路与鹤霞路交叉口北320米","121.305348","31.247270","121.30085378219397","31.249231565507298","021-60523632","上海市","上海市","嘉定区"
"B0FFGU7IFZ","虹桥综合交通枢纽上海虹桥国际机场2号航站楼(国内到达1号门)","交通设施服务;机场相关;机场出发/到达","150105","[]","虹桥路2550号虹桥综合交通枢纽上海虹桥国际机场2号航站楼1F层","121.327682","31.195018","121.3231429386303","31.196962886766116","[]","上海市","上海市","闵行区"
"B0FFGU7IFT","虹桥综合交通枢纽上海虹桥国际机场2号航站楼(国内到达2号门)","交通设施服务;机场相关;机场出发/到达","150105","[]","虹桥路2550号虹桥综合交通枢纽上海虹桥国际机场2号航站楼1F层","121.327703","31.194623","121.32316392470973","31.196568041161573","[]","上海市","上海市","闵行区"
"B00156ELIS","浦东机场西区货运站","交通设施服务;机场相关;机场货运处","150107","[]","机场镇","121.779913","31.146441","121.77557248082482","31.148513952129466","021-60523632","上海市","上海市","浦东新区"
"B0FFGU7IFV","虹桥综合交通枢纽上海虹桥国际机场2号航站楼(国内到达3号门)","交通设施服务;机场相关;机场出发/到达","150105","[]","虹桥路2550号虹桥综合交通枢纽上海虹桥国际机场2号航站楼1F层","121.327741","31.193942","121.32320189662211","31.19588730420769","[]","上海市","上海市","闵行区"
"B0FFGU7IFP","虹桥综合交通枢纽上海虹桥国际机场2号航站楼(2号航站楼出发北3号门)","交通设施服务;机场相关;机场出发/到达","150105","[]","虹桥路2550号虹桥综合交通枢纽上海虹桥国际机场2号航站楼F3层","121.327600","31.195283","121.32306110264993","31.19722791326523","[]","上海市","上海市","闵行区"
"B0FFGU7IFR","虹桥综合交通枢纽上海虹桥国际机场2号航站楼(2号航站楼出发北5号门)","交通设施服务;机场相关;机场出发/到达","150105","[]","虹桥路2550号虹桥综合交通枢纽上海虹桥国际机场2号航站楼F3层","121.327475","31.195187","121.32293639560507","31.197132199823177","[]","上海市","上海市","闵行区"
"B0FFGU7IG1","虹桥综合交通枢纽上海虹桥国际机场2号航站楼(2号航站楼出发南2号门)","交通设施服务;机场相关;机场出发/到达","150105","[]","虹桥路2550号虹桥综合交通枢纽上海虹桥国际机场2号航站楼F3层","121.327825","31.192442","121.32328583407472","31.194387884352146","[]","上海市","上海市","闵行区"
"B001577MN1","东方国际物流上海空运公司","交通设施服务;机场相关;机场相关","150100","[]","施新路与中横港路交叉口东220米","121.767380","31.149470","121.76302244347322","31.151530720743473","[]","上海市","上海市","浦东新区"
"B0FFHQ6LO5","上海浦东国际机场站坪楼","交通设施服务;机场相关;机场相关","150100","[]","浦东机场路","121.804109","31.141062","121.79981673198864","31.14317137970082","[]","上海市","上海市","浦东新区"
"B0FFK2ABVS","邮轮旅客临时休息点","交通设施服务;机场相关;候机室","150101","[]","宝杨路1弄3号","121.504612","31.403719","121.50018268343612","31.405687209327546","[]","上海市","上海市","宝山区"
"B0FFHJZXVW","虹桥综合交通枢纽爱心专区","交通设施服务;机场相关;候机室","150101","[]","虹桥路2550号虹桥综合交通枢纽F3层","121.327863","31.193057","121.32332369473428","31.19500250758973","[]","上海市","上海市","闵行区"
"B0FFFESOI9","上海蓝翼航空国际货运代理公司","交通设施服务;机场相关;机场货运处","150107","[]","沪青平公路248弄15号中外运远内(近空港六路)","121.347519","31.181124","121.3429372365662","31.1830387872651","021-54471055;021-54470196","上海市","上海市","闵行区"
"B0FFGB9L05","虹桥2号接机贵宾楼","交通设施服务;机场相关;候机室","150101","[]","虹翔三路153附近","121.328725","31.190997","121.3241839087198","31.192941876838507","[]","上海市","上海市","闵行区"
"B0FFHJZXSZ","虹桥综合交通枢纽上海虹桥国际机场2号航站楼候机区","交通设施服务;机场相关;候机室","150101","[]","虹桥路2550号虹桥综合交通枢纽上海虹桥国际机场2号航站楼F3层","121.325938","31.194962","121.3214029155082","31.196910251873597","[]","上海市","上海市","闵行区"
"B0FFHJZXUW","虹桥综合交通枢纽上海虹桥国际机场2号航站楼值机等候区","交通设施服务;机场相关;候机室","150101","[]","虹桥路2550号虹桥综合交通枢纽上海虹桥国际机场2号航站楼F3层","121.326806","31.193662","121.32226905029563","31.19560923214493","[]","上海市","上海市","闵行区"
"B0FFHJZXVE","虹桥综合交通枢纽上海虹桥国际机场2号航站楼头等舱/公务舱候机室V1-V3","交通设施服务;机场相关;候机室","150101","[]","虹桥路2550号虹桥综合交通枢纽上海虹桥国际机场2号航站楼F3层","121.328744","31.196817","121.32420236569287","31.198758968928768","[]","上海市","上海市","闵行区"
"B0FFHJZXV7","虹桥综合交通枢纽上海虹桥国际机场2号航站楼头等舱公务舱候机室V4-V6","交通设施服务;机场相关;候机室","150101","[]","虹桥路2550号虹桥综合交通枢纽上海虹桥国际机场2号航站楼F3层","121.328891","31.192430","121.32434940777404","31.19437384949335","[]","上海市","上海市","闵行区"
